liga,jogo,data,estado,ronda,resultado,equipa,jogador,posicao,minutes_played,rating,touches,goals,goal_assist,expected_goals,expected_assists,total_shots,shots_on_target,key_pass,total_pass,accurate_pass,total_long_balls,accurate_long_balls,total_cross,accurate_cross,total_contest,won_contest,duel_won,duel_lost,aerial_won,aerial_lost,total_tackle,won_tackle,total_clearance,interception,ball_recovery,blocked_scoring_attempt,dispossessed,possession_lost,was_fouled,fouls,yellow_card,red_card,saves,goals_conceded,punches,atualizado_em
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,Olympique de Marseille,,,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:17.861617+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,Olympique de Marseille,Amine Gouiri,F,90,8.0,45,2,0,1.3444,0.0227268,5,3,1,27,24,0,0,1,0,1,0,4,6,0,1,1,1,1,0,3,1,3,10,3,0,0,0,0,0,0,2026-09-01T10:43:17.861522+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,Olympique de Marseille,Amine Harit,M,83,6.2,41,0,0,0.0256,0.0645144,1,1,1,27,22,1,0,0,0,0,0,2,7,0,0,1,1,1,0,1,0,4,13,1,0,0,0,0,0,0,2026-09-01T10:43:17.861558+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,RC Strasbourg,Andrew Omobamidele,D,90,6.4,53,0,0,,0.00301706,0,0,0,37,36,0,0,0,0,0,0,3,1,0,0,3,2,8,3,4,0,0,1,0,1,0,0,0,4,0,2026-09-01T10:43:17.861670+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,Olympique de Marseille,Angel Gomes,M,89,7.7,64,0,1,0.3313,0.408844,3,1,2,46,45,0,0,5,0,2,1,6,4,1,0,3,0,0,0,5,1,2,11,1,1,0,0,0,0,0,2026-09-01T10:43:17.861531+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,Olympique de Marseille,Conrad Jaden Egan-Riley,D,75,7.3,78,0,0,,0.00883986,0,0,1,73,70,6,3,0,0,0,0,2,0,1,0,1,1,2,1,4,0,0,3,0,0,0,0,0,0,0,2026-09-01T10:43:17.861567+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,Olympique de Marseille,Derek Cornelius,D,15,6.7,14,0,0,,0.00085701,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:17.861592+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,RC Strasbourg,Diogo Sousa,M,69,5.9,27,0,0,0.0339,0.0264138,1,1,0,19,13,1,0,0,0,1,0,2,7,0,2,2,2,1,0,2,0,0,8,0,3,0,0,0,2,0,2026-09-01T10:43:17.861721+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,Olympique de Marseille,Emerson,D,90,7.1,84,0,0,,0.0198786,0,0,0,58,50,3,1,3,0,1,1,6,4,1,1,2,2,2,1,3,0,1,14,2,1,0,0,0,0,0,2026-09-01T10:43:17.861504+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,RC Strasbourg,Fabio Baldé,F,11,6.5,6,0,0,,0.00112547,0,0,1,2,2,0,0,1,0,1,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2026-09-01T10:43:17.861771+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,RC Strasbourg,Filip Jørgensen,G,90,6.2,48,0,0,,0.00590163,0,0,0,37,28,19,10,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,9,0,0,0,0,4,4,1,2026-09-01T10:43:17.861651+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,RC Strasbourg,Genesis Antwi,D,79,6.2,37,0,0,,0.00568541,0,0,0,23,19,4,2,0,0,0,0,3,1,1,0,2,2,1,1,3,0,1,8,0,0,0,0,0,2,0,2026-09-01T10:43:17.861705+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,Olympique de Marseille,Geoffrey Kondogbia,M,83,7.5,89,0,0,,0.00750729,0,0,0,77,72,8,4,0,0,1,0,5,1,1,0,4,3,1,3,5,0,0,7,1,0,0,0,0,0,0,2026-09-01T10:43:17.861550+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,RC Strasbourg,Gessime Yassine,M,90,6.3,35,0,0,0.0746,0.0187589,2,1,0,21,16,0,0,0,0,5,4,8,4,0,0,1,1,1,1,4,0,1,7,3,2,0,0,0,4,0,2026-09-01T10:43:17.861661+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,RC Strasbourg,Ghianny Kodia,F,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:17.861810+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,RC Strasbourg,Giovanni Reyna,M,21,6.6,23,0,0,,0.0026951,0,0,0,17,17,0,0,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,2,0,2026-09-01T10:43:17.861746+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,RC Strasbourg,Guéla Doué,D,90,5.1,56,0,0,0.0583,0.00859261,1,0,0,27,22,2,0,2,0,1,0,5,6,3,1,2,2,3,2,2,0,1,16,0,1,0,0,0,4,0,2026-09-01T10:43:17.861688+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,Olympique de Marseille,Himad Abdelli,M,83,7.4,65,0,0,,0.0549037,0,0,0,58,53,1,0,0,0,1,1,3,2,0,2,2,2,0,0,6,0,0,7,0,0,0,0,0,0,0,2026-09-01T10:43:17.861540+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,Olympique de Marseille,Igor Paixão,M,90,7.0,59,0,0,0.0265,0.0727794,1,1,0,38,33,2,1,4,1,4,2,5,7,0,0,1,1,1,0,2,0,1,16,2,1,0,0,0,0,0,2026-09-01T10:43:17.861444+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,RC Strasbourg,Jacobo Ortega,F,21,6.6,7,0,0,,0.00012186,0,0,0,3,3,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,2,0,2026-09-01T10:43:17.861763+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,Olympique de Marseille,Jeffrey De Lange,G,90,6.9,37,0,0,,0.00013517,0,0,0,32,32,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,2026-09-01T10:43:17.861494+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,RC Strasbourg,Jeyland Mitchell,D,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:17.861803+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,Olympique de Marseille,Keyliane Abdallah,M,15,7.9,22,1,0,0.0234,0.0159091,1,1,0,15,14,0,0,1,0,2,2,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2026-09-01T10:43:17.861576+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,RC Strasbourg,Lucas Høgsberg,D,90,6.0,68,0,0,,0.00665254,0,0,2,60,50,9,3,0,0,0,0,3,2,2,0,1,1,4,1,2,0,0,10,0,1,0,0,0,4,0,2026-09-01T10:43:17.861679+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,RC Strasbourg,Mateo Del Blanco,D,11,5.9,5,0,0,,3.471e-05,0,0,0,4,3,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,2,0,2026-09-01T10:43:17.861779+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,RC Strasbourg,Mathis Amougou,M,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:17.861795+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,RC Strasbourg,Miłosz Piekutowski,G,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:17.861787+00:00
France Ligue 1 2026/2027,Olympique de Marseille - RC Strasbourg,2026-08-21T18:45:00+00:00,finished,1,4-0,Olympique de Marseille,Nayef Aguerd,D,15,6.9,28,0,0,,0.00549707,0,0,0,27,25,0,0,0,0,0,0,2,1,2,0,0,0,1,0,1,0,0,2,0,1,1,0,0,0,0,2026-09-01T10:43:17.861584+00:00
