liga,jogo,data,estado,ronda,resultado,equipa,jogador,posicao,minutes_played,rating,touches,goals,goal_assist,expected_goals,expected_assists,total_shots,shots_on_target,key_pass,total_pass,accurate_pass,total_long_balls,accurate_long_balls,total_cross,accurate_cross,total_contest,won_contest,duel_won,duel_lost,aerial_won,aerial_lost,total_tackle,won_tackle,total_clearance,interception,ball_recovery,blocked_scoring_attempt,dispossessed,possession_lost,was_fouled,fouls,yellow_card,red_card,saves,goals_conceded,punches,atualizado_em
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Estoril Praia,André Lacximicant,F,66,6.6,29,0,0,0.118,0.0122894,3,2,0,16,13,1,1,2,0,0,0,5,1,2,0,1,1,0,0,2,0,1,9,2,0,0,0,0,1,0,2026-09-01T10:43:18.928301+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Estoril Praia,Antef Tsoungui,D,87,6.5,38,0,0,0.0027,0.0125943,1,0,0,25,20,5,2,0,0,0,0,2,2,0,1,2,1,0,3,2,1,1,8,0,0,0,0,0,1,0,2026-09-01T10:43:18.928278+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Estoril Praia,Diogo Dias,G,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:18.928349+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Estoril Praia,Fabrício Garcia,F,24,6.7,11,0,0,,0.0103754,0,0,0,8,8,0,0,1,0,1,1,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2026-09-01T10:43:18.928324+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Estoril Praia,Fernando Medrano,D,90,6.8,62,0,0,0.0123,0.040375,1,0,2,46,40,5,2,1,0,2,1,4,2,0,0,3,1,0,1,4,1,0,9,0,1,0,0,0,1,0,2026-09-01T10:43:18.928200+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Estoril Praia,Ferro,D,90,6.7,73,0,0,,0.00945508,0,0,0,63,56,5,2,0,0,0,0,3,6,2,2,1,1,6,2,4,0,0,7,0,2,0,0,0,1,0,2026-09-01T10:43:18.928243+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Famalicão,Finn van Breemen,D,90,6.9,85,0,0,,0.0112562,0,0,0,72,64,9,3,0,0,0,0,3,5,1,2,2,0,7,3,4,0,0,8,0,3,0,0,0,1,0,2026-09-01T10:43:18.927949+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Famalicão,Georgios Koutsias,F,83,6.7,29,1,0,0.8801,0.00539996,1,1,1,20,16,3,2,0,0,3,2,3,5,1,3,0,0,0,0,1,0,0,8,0,0,0,0,0,1,0,2026-09-01T10:43:18.927973+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Famalicão,Gil Dias,M,77,6.3,33,0,1,0.1491,0.0101049,1,1,1,22,14,0,0,0,0,0,0,3,4,1,0,1,1,0,0,3,0,3,14,1,0,0,0,0,1,0,2026-09-01T10:43:18.927980+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Estoril Praia,Gonçalo Costa,D,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:18.928363+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Famalicão,Gustavo García,D,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:18.928126+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Estoril Praia,Ismael Sierra Arnal,D,90,6.9,106,0,0,0.1535,0.0142173,2,0,0,92,80,12,5,0,0,0,0,5,2,4,1,1,0,6,3,4,0,0,12,0,1,0,0,0,1,0,2026-09-01T10:43:18.928214+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Famalicão,Ivan Zlobin,G,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:18.928051+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Estoril Praia,Jandro Orellana,M,11,6.5,3,0,0,,0.00094237,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2026-09-01T10:43:18.928334+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Estoril Praia,Joel Robles,G,90,6.4,35,0,0,,0.00034607,0,0,0,26,20,8,3,0,0,0,0,1,0,1,0,0,0,2,0,8,0,0,7,0,0,0,0,0,1,1,2026-09-01T10:43:18.928159+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Estoril Praia,Jordan Arnolin,D,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:18.928370+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Estoril Praia,João Carvalho,F,90,6.4,49,0,0,0.1754,0.335056,3,0,3,27,20,1,1,6,2,2,0,3,5,0,1,0,0,1,0,0,1,1,16,3,0,0,0,0,1,0,2026-09-01T10:43:18.928174+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Famalicão,Lazar Carević,G,90,6.3,39,0,0,,0.00011317,0,0,0,34,33,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,2,1,0,2026-09-01T10:43:18.927845+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Famalicão,Leny Meyer,D,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:18.928058+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Estoril Praia,Luis Gomes,M,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:18.928377+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Famalicão,Léo Realpe,D,90,7.0,79,0,0,,0.00383299,0,0,0,67,57,8,2,0,0,0,0,5,2,3,2,2,0,7,3,4,0,0,10,0,0,0,0,0,1,0,2026-09-01T10:43:18.927957+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Famalicão,Marcos Peña,M,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:18.928142+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Estoril Praia,Martin Turk,G,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:18.928391+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Famalicão,Matheus Mattara,D,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:18.928072+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Famalicão,Mathias De Amorim,M,90,6.8,59,0,0,,0.00421635,0,0,0,28,23,1,0,0,0,4,2,12,10,0,1,6,3,2,3,4,0,4,13,4,2,0,0,0,1,0,2026-09-01T10:43:18.927914+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Famalicão,Paulo Moreira,M,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:18.928150+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Famalicão,Pedro Bondo,D,90,6.8,71,0,0,,0.028549,0,0,0,45,34,4,1,1,0,1,0,5,1,3,0,1,1,5,1,3,0,0,22,1,0,0,0,0,1,0,2026-09-01T10:43:18.927941+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Estoril Praia,Pedro Carvalho,D,24,7.3,17,0,1,,0.594543,0,0,1,9,7,0,0,2,0,0,0,1,2,0,0,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,2026-09-01T10:43:18.928317+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Famalicão,Pedro Santos,M,66,6.3,30,0,0,,0.00879787,0,0,0,25,23,2,1,1,0,0,0,0,6,0,2,0,0,0,1,5,0,1,5,0,3,0,0,0,0,0,2026-09-01T10:43:18.927995+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Estoril Praia,Peixinho,F,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:18.928384+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Estoril Praia,Rafik Guitane,F,90,6.9,64,0,0,0.029,0.301932,1,0,3,38,33,0,0,3,1,5,2,6,11,0,4,4,3,1,2,5,0,3,16,0,0,0,0,0,1,0,2026-09-01T10:43:18.928182+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Estoril Praia,Ricard Sánchez,D,66,6.8,48,0,0,,0.0201774,0,0,0,23,14,3,1,2,0,0,0,4,8,1,2,3,3,3,1,0,0,1,15,1,3,1,0,0,1,0,2026-09-01T10:43:18.928310+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Famalicão,Rodrigo Pinheiro,D,90,6.6,74,0,0,,0.0671079,0,0,0,47,41,1,0,0,0,1,1,3,4,0,2,1,1,5,1,5,0,0,10,1,2,1,0,0,1,0,2026-09-01T10:43:18.927965+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Famalicão,Romeo Beney,F,13,6.4,3,0,0,0.0112,0.0186158,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2026-09-01T10:43:18.928021+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Famalicão,Rudi Almeida,F,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:18.928043+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Famalicão,Sorriso,M,77,7.1,55,0,0,0.0831,0.108105,1,0,2,24,19,0,0,6,1,3,2,8,4,3,1,1,1,1,1,5,1,2,20,2,1,0,0,0,1,0,2026-09-01T10:43:18.927988+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Famalicão,Tamás Szűcs,M,24,6.3,7,0,0,,0.00025999,0,0,0,4,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,2026-09-01T10:43:18.928003+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Estoril Praia,Tiago Brito,M,3,,6,0,0,,0.00127579,0,0,0,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2026-09-01T10:43:18.928342+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Estoril Praia,Tiago Parente,D,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:18.928356+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Famalicão,Tom Van De Looi,M,90,7.0,45,0,0,0.0205,0.282713,1,0,1,38,32,5,1,0,0,0,0,3,1,0,0,3,2,1,0,1,1,0,6,0,1,0,0,0,1,0,2026-09-01T10:43:18.927932+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Famalicão,Umar Abubakar,F,11,6.5,7,0,0,0.2874,0.00230368,1,0,0,3,2,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2026-09-01T10:43:18.928035+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Famalicão,Vojin Serafimović,D,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:18.928065+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Estoril Praia,Xeka,M,83,6.5,48,0,0,0.1412,0.0201642,2,0,2,33,30,2,2,1,0,1,0,4,7,2,0,1,1,0,1,5,0,1,9,2,4,0,0,0,1,0,2026-09-01T10:43:18.928292+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Estoril Praia,Yanis Begraoui,F,90,8.3,24,1,0,0.3567,0.564341,1,1,0,14,12,0,0,0,0,2,0,5,4,1,1,0,0,1,0,2,0,1,6,4,0,0,0,0,1,0,2026-09-01T10:43:18.928167+00:00
Portugal Liga Betclic 2026/2027,Estoril Praia - Famalicão,2026-08-07T19:15:00+00:00,finished,1,1-1,Famalicão,Óscar Aranda,M,13,6.9,11,0,0,,0.00211067,0,0,0,4,3,2,1,0,0,2,2,4,1,0,0,0,0,0,0,1,0,1,3,2,0,0,0,0,0,0,2026-09-01T10:43:18.928010+00:00
Portugal Liga Betclic 2026/2027,CS Marítimo - Casa Pia,2026-08-08T14:30:00+00:00,finished,1,1-0,Casa Pia,Abdu Conté,M,66,7.2,56,0,0,,0.291262,0,0,1,37,36,1,1,1,0,1,0,6,1,3,0,2,0,2,1,1,0,0,5,1,0,0,0,0,1,0,2026-09-02T00:09:18.570874+00:00
Portugal Liga Betclic 2026/2027,CS Marítimo - Casa Pia,2026-08-08T14:30:00+00:00,finished,1,1-0,Casa Pia,Abdu Dafe,M,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-02T00:09:18.570944+00:00
Portugal Liga Betclic 2026/2027,CS Marítimo - Casa Pia,2026-08-08T14:30:00+00:00,finished,1,1-0,CS Marítimo,Adrián Butzke,F,87,7.0,23,0,0,0.0389,0.0157629,2,0,0,16,9,1,1,0,0,0,0,7,2,4,2,1,0,1,0,2,1,0,8,2,0,0,0,0,0,0,2026-09-02T00:09:18.571099+00:00
Portugal Liga Betclic 2026/2027,CS Marítimo - Casa Pia,2026-08-08T14:30:00+00:00,finished,1,1-0,Casa Pia,Alassana Jatta,F,12,6.3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2026-09-02T00:09:18.570899+00:00
Portugal Liga Betclic 2026/2027,CS Marítimo - Casa Pia,2026-08-08T14:30:00+00:00,finished,1,1-0,CS Marítimo,Alfonso Pastor,G,98,7.2,40,0,0,,0.00126144,0,0,0,27,14,17,4,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,13,0,0,0,0,4,0,1,2026-09-02T00:09:18.570984+00:00
Portugal Liga Betclic 2026/2027,CS Marítimo - Casa Pia,2026-08-08T14:30:00+00:00,finished,1,1-0,Casa Pia,André Geraldes,D,90,6.4,68,0,0,,0.0237776,0,0,1,46,43,1,0,0,0,1,0,5,6,3,2,1,0,2,0,1,0,1,12,2,2,0,0,0,1,0,2026-09-02T00:09:18.570827+00:00
Portugal Liga Betclic 2026/2027,CS Marítimo - Casa Pia,2026-08-08T14:30:00+00:00,finished,1,1-0,Casa Pia,André Gomes,G,90,7.8,42,0,0,,0.00081836,0,0,0,32,29,5,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,3,1,0,2026-09-02T00:09:18.570756+00:00
Portugal Liga Betclic 2026/2027,CS Marítimo - Casa Pia,2026-08-08T14:30:00+00:00,finished,1,1-0,Casa Pia,Claudio Mendes,F,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-02T00:09:18.570917+00:00
